experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae,mono_violations,mono_rate,max_jump,mean_abs_diff,mean_rolling_var,mean_ma_dev,slope,slope_dev,slope_consistency,final_pred
Exp_008,CNN,19.918887643664682,12.057206805969368,1.6520316823132781,26.186491221352835,-6.267603577688153,False,Inlier,-0.2574477655780792,-0.5063333211797119,9.037125593696544,43,0.28289473684210525,6.398323059082031,2.0691605241675126,15.65194969304782,4.953156012911955,-0.9118552770784998,0.08814472292150022,0.7984165378501367,4.372528076171875
Exp_008,Transformer,16.67253762155562,5.043739124083109,3.305590795119977,26.186491221352835,-9.513953599797215,False,Inlier,2.064524063516352,1.7983408324919556,6.356627455723831,7,0.046052631578947366,3.971160888671875,1.2754700356408168,14.513454389681561,5.323443288712323,-1.1668611625388567,0.16686116253885674,0.4909603536668662,1.189978837966919
Exp_009,RF,34.51347581019367,22.400131630120615,1.540771115995796,27.65517774050035,6.858298069693319,False,Inlier,-0.4990323694767919,-1.1097109309530897,4.422326573765012,22,0.14473684210526316,6.657039523576557,1.0555989270573567,8.038250476407683,3.864570144732164,-0.9032928552846576,0.09670714471534236,0.34256733137476725,1.5021062712652578
Exp_009,XGB,46.3165642194426,41.51600871341304,1.1156314312189308,27.65517774050035,18.661386478942248,True,Type1,1.9341476185482773,-0.981091522816592,22.193418216082005,48,0.3157894736842105,7.108734130859375,1.1889449671695107,3.3985898755693795,2.0799270758899446,-0.5126274411376315,0.4873725588623685,0.205009212869546,54.127845764160156
Exp_009,SVR,32.43074262216253,24.81094208852386,1.3071145185237913,27.65517774050035,4.775564881662184,False,Inlier,-0.9882414844518445,1.0250587918104643,5.578708550294594,56,0.3684210526315789,9.185766812491522,2.7165921202305205,13.29789286369668,4.195841339717986,-0.8952505244972708,0.10474947550272917,0.4442887524564389,2.6610615792285444
Exp_009,LSTM,22.87961285883816,17.621909878434625,1.2983616995362017,27.65517774050035,-4.775564881662188,False,Inlier,0.9632996165800745,-0.46870619798938673,7.4306901062236115,58,0.3815789473684211,14.181198120117188,3.118698653421904,28.72738044852891,5.323624674501429,-1.1201156230452336,0.1201156230452336,0.8378127647696273,3.3972983360290527
Exp_009,CNN,21.904980153325365,14.095969826742866,1.5539888650844902,27.65517774050035,-5.750197587174984,False,Inlier,0.23582155178119563,-0.7304254780357261,12.781785689148249,44,0.2894736842105263,9.097908020019531,2.7701366622197,23.298784941882207,5.815777532709796,-1.1411118797567765,0.14111187975677653,1.0386813395496115,1.9560582637786865
Exp_009,Transformer,16.272627350213188,5.124309772439689,3.1755744818029945,27.65517774050035,-11.382550390287161,False,Inlier,1.9452218359267264,1.6147519847163925,3.056888557727041,9,0.05921052631578947,3.5716400146484375,1.1536390310839604,11.875245726252595,4.843217218812663,-1.0337943016748616,0.03379430167486164,0.455293942961932,0.8637404441833496
Exp_010,RF,35.793577932813,10.113704126713065,3.539116577305475,28.81156574291882,6.982012189894181,False,Inlier,1.1309735561397982,1.3109591262751688,6.981422852824411,47,0.3092105263157895,9.54645198241645,1.6188544179117976,9.69230000293765,3.8943072034675232,-0.8551653266090804,0.1448346733909196,0.42147977562571365,0.0805562307910996
Exp_010,XGB,36.20794637727159,21.53025640622909,1.681723881690326,28.81156574291882,7.39638063435277,False,Inlier,-0.2957036345190529,0.789129388086055,7.330858218124489,51,0.3355263157894737,9.448234558105469,1.9781093660153841,8.986025604710381,3.6103818887892025,-0.8307929859708681,0.16920701402913185,0.31430380112664014,13.13903522491455
Exp_010,SVR,32.97124236538622,26.461319450081106,1.2460165649557267,28.81156574291882,4.159676622467398,False,Inlier,0.5719559573360444,-0.4974812233338144,5.006428070854315,60,0.39473684210526316,8.866483421195426,2.738224875169438,12.683320790498534,4.216771712889802,-0.9131343321604812,0.08686566783951877,0.41670954922214226,4.2456621912786545
Exp_010,LSTM,24.651889120451422,21.96943969512145,1.1220991278136982,28.81156574291882,-4.159676622467398,False,Inlier,1.60623868996412,-0.9796622977161386,6.425972106410008,58,0.3815789473684211,11.715858459472656,2.766363595661364,25.889492690349464,5.440179038282771,-1.0979125614999492,0.0979125614999492,0.9854034878870158,7.610740661621094
Exp_010,CNN,16.923956041243358,7.61737680053239,2.2217564503387197,28.81156574291882,-11.887609701675462,False,Inlier,-1.0012740777353508,0.7958615329643416,6.092859509723638,54,0.35526315789473684,9.130355834960938,2.469937958215412,17.45938772809356,4.9765154134807945,-1.0156537570878021,0.015653757087802145,0.7362435677941761,1.1386189460754395
Exp_010,Transformer,10.767555982711226,4.209652055148387,2.5578256448873367,28.81156574291882,-18.044009760207594,True,Type2,0.3029352425411766,0.74246300581311,4.93750582645142,1,0.006578947368421052,2.696533203125,1.12001727756701,11.525285891532622,4.878915548393842,-1.0456787953729794,0.045678795372979364,0.4043479201978411,2.9708595275878906
