experiment,model,outlier_type,mean_corr_with_others,min_corr_with_others,max_corr_with_others,std_corr_with_others,rank_in_experiment
Exp_019,CNN,Inlier,-0.1975219720437925,-0.5611118480720951,0.010060372852077101,0.20934525765278655,6
Exp_019,Transformer,Inlier,-0.023419821983159218,-0.5611118480720951,0.2975386361178032,0.3025450649709247,5
Exp_020,RF,Inlier,0.18503081285552866,-0.49595920837216806,0.7957358810988326,0.5168300798897423,2
Exp_020,XGB,Inlier,-0.13693875197892674,-0.49595920837216806,0.34511273335921067,0.278364655713905,6
Exp_020,SVR,Inlier,0.23978459836441193,-0.265902726629737,0.7957358810988329,0.4149114133533631,1
Exp_020,LSTM,Inlier,0.14483146288526746,-0.20294973358747848,0.5557906232389379,0.3260077325578831,3
Exp_020,CNN,Inlier,-0.1085853261391931,-0.3628579461852778,0.34511273335921067,0.23928304037394438,5
Exp_020,Transformer,Inlier,0.12597569206599896,-0.14426576130398117,0.43244471449731864,0.23445339376602983,4
Exp_021,RF,Inlier,0.4540214098175559,-0.31345179866708606,0.8410780745250008,0.4228261232643714,2
Exp_021,XGB,Inlier,0.39119725033058245,-0.370126442772475,0.6714014438908114,0.3886691390735701,4
Exp_021,SVR,Inlier,0.47371032246536277,-0.2544847371721881,0.8410780745250007,0.3963788537551881,1
Exp_021,LSTM,Inlier,0.4491873204086576,-0.1897240151671586,0.7560222388014567,0.349781430946508,3
Exp_021,CNN,Inlier,-0.2450638647258112,-0.370126442772475,-0.09753232985014834,0.09511504981445174,6
Exp_021,Transformer,Type2,0.2836791942014677,-0.09753232985014834,0.4499459237629944,0.1951671042358572,5
Exp_022,RF,Inlier,0.4517481184711588,0.029295787368805642,0.7418658162070557,0.2446200325696065,5
Exp_022,XGB,Inlier,0.22849107426926568,0.029295787368805642,0.47257545053787187,0.14314149441635804,6
Exp_022,SVR,Inlier,0.5191398093569246,0.2451127863116344,0.7418658162070557,0.16897870849916746,1
Exp_022,LSTM,Inlier,0.4966569982406325,0.22035669697862023,0.5922806225246573,0.13883191254723476,2
Exp_022,CNN,Inlier,0.4769349607875612,0.17511465014939603,0.6158908430007259,0.1593291319492765,3
Exp_022,Transformer,Inlier,0.4626698551206303,0.35323908153941624,0.5922806225246573,0.07703463815941136,4
Exp_023,RF,Inlier,0.3464835279890817,-0.1816401245522582,0.7912403402468522,0.3359363090457189,1
Exp_023,XGB,Inlier,0.2069917258662199,-0.3147866741667175,0.6259425554648291,0.355003597170831,3
Exp_023,SVR,Inlier,0.34277905660172114,-0.07203097679480841,0.7912403402468521,0.3189201387802144,2
Exp_023,LSTM,Inlier,-0.10186736493906054,-0.3147866741667175,0.10016312402505428,0.13935893074801864,6
Exp_023,CNN,Inlier,0.017883032228057816,-0.1747724853047326,0.16499720115452796,0.1232457526900368,5
Exp_023,Transformer,Type2,0.136011680403579,-0.1747724853047326,0.38008724638310276,0.18283065817574606,4
Exp_024,RF,Inlier,0.22056388380660893,-0.2990664926677744,0.7912371918874845,0.3680679798549831,2
Exp_024,XGB,Inlier,-0.08555789737440876,-0.2990664926677744,0.030056145934518604,0.11289906019448281,6
Exp_024,SVR,Inlier,0.2535933901554428,-0.05672124754803842,0.7912371918874845,0.31107459698734913,1
Exp_024,LSTM,Inlier,0.004991407992754059,-0.0260975944065022,0.030056145934518615,0.02100605683814054,5
Exp_024,CNN,Inlier,0.1459603074202152,-0.02307888018492349,0.3981860499402836,0.16637034664074543,3
Exp_024,Transformer,Inlier,0.08657101415079294,-0.07897901240582604,0.3476241702482841,0.14750170520706854,4
Exp_025,RF,Inlier,0.20563166044710704,-0.04979330101645235,0.65985135865891,0.24514738767305122,4
Exp_025,XGB,Inlier,0.13208936279851508,-0.04979330101645235,0.28938364452922644,0.13068652417021923,5
Exp_025,SVR,Inlier,0.32822592924737015,0.11015261220373254,0.65985135865891,0.1899290963372744,1
Exp_025,LSTM,Inlier,0.08903422826187588,-0.02634738095126821,0.2058969085514341,0.07528891148690807,6
Exp_025,CNN,Inlier,0.23222134280606865,0.08058490592643418,0.5930064660255414,0.18780455292912282,3
Exp_025,Transformer,Type2,0.293937098006657,-0.026347380951268203,0.5930064660255414,0.2019133492376061,2
Exp_026,RF,Inlier,0.22647104905173573,-0.2886885624854326,0.8063384517681416,0.45735528084704097,2
Exp_026,XGB,Inlier,0.22390068408099517,-0.1748958511425142,0.7316267197802072,0.4102308848360805,3
Exp_026,SVR,Inlier,0.29246801762098673,-0.1931918659163523,0.8063384517681416,0.40805514989129404,1
Exp_026,LSTM,Inlier,-0.10209306929453069,-0.2886885624854327,0.01085424371416508,0.11504744740822015,5
Exp_026,CNN,Inlier,-0.18606328856302023,-0.36828263577985393,0.007051870208315279,0.1208056597653964,6
Exp_026,Transformer,Inlier,-0.00795155806956378,-0.368282635779854,0.1823538292401243,0.19246524533062007,4
Exp_027,RF,Inlier,0.3281284545372967,-0.29402749019023944,0.7968299575273012,0.43128899787426517,3
Exp_027,XGB,Inlier,-0.2499471443011363,-0.3805773299989598,-0.07867093435613545,0.11000104805919768,6
Exp_027,SVR,Inlier,0.3289509997233379,-0.17028002137061032,0.765911484318994,0.37962569667149143,2
Exp_027,LSTM,Inlier,0.3064186413141285,-0.07867093435613545,0.4434113696464763,0.1937741755663132,4
Exp_027,CNN,Inlier,0.016221371281996168,-0.3261799455897365,0.383093906196312,0.22920069719868097,5
Exp_027,Transformer,Type2,0.33122816663366966,-0.3805773299989598,0.7968299575273012,0.43189289182099655,1
Exp_028,RF,Inlier,0.3866668866301536,-0.008800956419209777,0.7601997330516228,0.2509254736280839,1
Exp_028,XGB,Inlier,0.19183156975021437,-0.4132741477617085,0.41409840591318575,0.30615079599510686,5
Exp_028,SVR,Inlier,0.32670124308821574,-0.3427968797581028,0.7601997330516228,0.37009984700352,2
Exp_028,LSTM,Inlier,0.25539608319176593,-0.2245174015669839,0.5235610260470045,0.2649910971566413,3
Exp_028,CNN,Inlier,-0.21172757315972576,-0.4132741477617085,-0.008800956419209777,0.1545595472707161,6
Exp_028,Transformer,Type2,0.24422879056034116,-0.06924848029262373,0.4317133837650263,0.17436804227150324,4
Exp_029,RF,Inlier,0.3788720001045713,-0.4286453516012919,0.8082553161094107,0.46558271024693426,3
Exp_029,XGB,Type1,-0.19056929744752021,-0.4286453516012919,0.047771613001397976,0.16274538524418275,6
Exp_029,SVR,Inlier,0.39201216290936813,-0.2183604121757192,0.8082553161094106,0.40230898035062657,2
Exp_029,LSTM,Inlier,0.44204495895788626,-0.08248620367724509,0.8054203353752295,0.3338868447016686,1
