experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae
Exp_012,LSTM,23.719986432282298,21.198637519095787,1.118939196489174,28.234056657370875,-4.514070225088577,False,Inlier,1.2681668758835318,-0.98882241701546,4.967572293250389
Exp_012,CNN,19.959043146411414,11.797957576568736,1.691737151695727,28.234056657370875,-8.275013510959461,False,Inlier,-0.2474746765443348,-0.41558027547591303,7.806696000442006
Exp_012,Transformer,5.78424687421409,4.876346108849434,1.1861846442189627,28.234056657370875,-22.449809783156784,True,Type2,-1.1836979349855679,-1.1943554168142854,2.1216711094176848
Exp_013,RF,34.89654329401322,9.79831293634164,3.5614848720112846,28.80761489375242,6.0889284002608015,False,Inlier,-0.011257013508112588,1.3380546722025104,6.236268525334327
Exp_013,XGB,46.41444582508769,40.191498695405876,1.1548324230664515,28.80761489375242,17.60683093133527,False,Inlier,1.9557392371461642,-0.8585065714737161,22.46644131030912
Exp_013,SVR,32.680525017784284,25.726022562382607,1.2703294859723386,28.80761489375242,3.872910124031865,False,Inlier,-0.2672238345111211,0.10838841666314102,5.164058546551022
Exp_013,LSTM,15.824187893391294,8.791478834511077,1.7999460831633032,28.80761489375242,-12.983427000361125,False,Inlier,-1.5962383560641384,0.9853041335144189,7.035432242100535
Exp_013,CNN,24.934704769720554,16.304407677582063,1.5293229452306212,28.80761489375242,-3.872910124031865,False,Inlier,0.988289116130034,-0.7868032866006568,6.279233997943354
Exp_013,Transformer,10.650174106374681,3.9870942055791203,2.671161893158167,28.80761489375242,-18.157440787377737,False,Inlier,0.2679175890095707,0.9024988559338434,3.161551584605298
Exp_014,RF,34.51347581019367,22.400131630120615,1.540771115995796,26.531332889932024,7.982142920261644,False,Inlier,-0.4990323694767919,-1.1097109309530897,4.422326573765012
Exp_014,XGB,33.36390850342627,25.021382457372834,1.3334158718154767,26.531332889932024,6.8325756134942495,False,Inlier,-0.9230674854214342,-0.3000604112159935,3.8894080430074456
Exp_014,SVR,32.466045567796336,24.845893526191073,1.3066966391678587,26.531332889932024,5.934712677864312,False,Inlier,-0.8863365970657269,1.0146453818064556,5.680806313444435
Exp_014,LSTM,16.9459734339754,6.458975811246969,2.6236316606833388,26.531332889932024,-9.585359455956624,False,Inlier,-1.1892816238545456,3.373032656807503,5.1702899496539745
Exp_014,CNN,20.596620212067712,13.041943304440869,1.5792600635715404,26.531332889932024,-5.934712677864312,False,Inlier,-0.08912495093465377,-0.672664210710202,11.155608111736822
Exp_014,Transformer,9.601918473873138,7.711638723102522,1.245120371771011,26.531332889932024,-16.929414416058886,False,Inlier,-0.04480064055978678,-1.1111355343391083,3.386640609479418
Exp_015,RF,35.69628921547262,16.099806854401088,2.217187419594079,24.565086540134573,11.131202675338045,False,Inlier,1.0070918884522428,-0.290342746601084,5.441297530263336
Exp_015,XGB,33.53378368805853,24.907540205368157,1.3463306055742594,24.565086540134573,8.968697147923955,False,Inlier,-0.8855948656002539,-0.25967490220682027,3.6557553796207203
Exp_015,SVR,32.466045567796336,24.845893526191073,1.3066966391678587,24.565086540134573,7.900959027661763,False,Inlier,-0.8863365970657269,1.0146453818064556,5.680806313444435
Exp_015,LSTM,16.664127512472806,7.955290074361608,2.09472280164593,24.565086540134573,-7.9009590276617665,False,Inlier,-1.2915285249347412,1.839813181545654,5.852369822707831
Exp_015,CNN,14.964844259821186,5.963740458499821,2.5093050852829357,24.565086540134573,-9.600242280313386,False,Inlier,-1.487842415490035,1.4530988056886054,5.607511642711614
Exp_015,Transformer,11.275701029905871,5.9536625977323165,1.8939099831086599,24.565086540134573,-13.289385510228701,False,Inlier,0.45452633787727825,-0.19501559403715243,2.3818673308378733
Exp_016,RF,35.714236843733715,11.293782751641434,3.1622918227768304,28.20905033440235,7.5051865093313666,False,Inlier,1.0299453310795328,0.8544973093518526,6.839996711513899
Exp_016,XGB,45.33653457408826,41.535566049715904,1.0915111767063148,28.20905033440235,17.127484239685913,False,Inlier,1.717963728044493,-1.056517681351247,21.509648591085195
Exp_016,SVR,32.46363030541271,25.07534293301664,1.2946435226083362,28.20905033440235,4.254579971010358,False,Inlier,-0.8933084527223252,0.7142858575119574,5.359431016830622
Exp_016,LSTM,23.954470363391987,20.958386562069997,1.1429539336174013,28.20905033440235,-4.254579971010362,False,Inlier,1.3532319894081468,-0.9192076581980287,6.530326693665748
Exp_016,CNN,18.088102259755583,8.550663472806967,2.1154033622396455,28.20905033440235,-10.120948074646765,False,Inlier,-0.7121447407489213,0.5527749553438316,9.39657966295878
Exp_016,Transformer,4.846315553549942,3.9498616496133665,1.2269583047356418,28.20905033440235,-23.362734780852406,True,Type2,-1.46350394123215,-1.1367811850669272,1.3238189913868126
Exp_017,RF,35.09225069423417,11.29117986741796,3.1079347868239195,29.583704669989913,5.508546024244254,False,Inlier,0.23794515279594544,0.7886526133878946,5.695866347467866
Exp_017,XGB,36.06151496163361,21.230121245431057,1.698601460855737,29.583704669989913,6.477810291643699,False,Inlier,-0.3280048136462915,0.8419070634271522,7.6916601081299625
Exp_017,SVR,33.38395772943852,27.931875020267604,1.1951921489414814,29.583704669989913,3.8002530594486075,False,Inlier,1.763293165639727,-1.764008211702129,4.92296790679864
Exp_017,LSTM,17.143103170900098,10.128269374139727,1.6925994498794812,29.583704669989913,-12.440601499089816,False,Inlier,-1.1177677108489992,0.6741239633541252,5.06333605448405
Exp_017,CNN,25.783451610541306,16.340276578805973,1.5779079066497277,29.583704669989913,-3.8002530594486075,False,Inlier,1.19908532665198,-0.6757547763383775,6.235622449638018
Exp_017,Transformer,7.860128013985538,5.4471950697407205,1.4429679703685863,29.583704669989913,-21.723576656004376,True,Type2,-0.5644159061577467,-0.8317658788318362,2.4001494482451795
Exp_018,RF,34.22914223838223,22.68437541346608,1.5089303370487712,27.227730575997654,7.001411662384577,False,Inlier,-0.8610858328020732,-1.1482808487616816,3.944151345394185
Exp_018,XGB,33.946135095038805,28.089956466624773,1.2084794483527264,27.227730575997654,6.718404519041151,False,Inlier,-0.7946346259398757,-0.6907476022622276,5.265204747517903
Exp_018,SVR,32.43074262216253,24.81094208852386,1.3071145185237913,27.227730575997654,5.203012046164879,False,Inlier,-0.9882414844518445,1.0250587918104643,5.578708550294594
Exp_018,LSTM,16.411930750136182,10.152415517132834,1.6165542793673118,27.227730575997654,-10.815799825861472,False,Inlier,-1.38301942632478,0.45368156683034205,7.839862773621005
Exp_018,CNN,22.02471852983278,13.770570107087751,1.5994049889406246,27.227730575997654,-5.203012046164876,False,Inlier,0.2655599788455072,-0.6266198404721751,11.833365350377326
Exp_018,Transformer,12.595120263155861,3.8429986483005485,3.277419904564806,27.227730575997654,-14.632610312841793,False,Inlier,0.8481387677929251,1.758562275433302,3.2805644141303167
Exp_019,RF,35.0100020002264,17.134960332714872,2.0431913071536942,26.241998804979858,8.768003195246543,False,Inlier,0.13321455651151687,-0.5011106981956609,5.789391568082683
Exp_019,XGB,35.914440631846645,15.966800100343711,2.249319864101858,26.241998804979858,9.672441826866788,False,Inlier,-0.3604478126487222,2.5640519756820126,5.354624500461653
Exp_019,SVR,33.38395772943852,27.931875020267604,1.1951921489414814,26.241998804979858,7.141958924458663,False,Inlier,1.763293165639727,-1.764008211702129,4.92296790679864
Exp_019,LSTM,14.564954297105015,10.350626800280812,1.4071567430785803,26.241998804979858,-11.677044507874843,False,Inlier,-2.053057927090492,-0.15332732557889886,7.515549784392313
Exp_019,CNN,19.10003988052119,7.5653857565564895,2.524661728447657,26.241998804979858,-7.141958924458667,False,Inlier,-0.460818190259841,1.4881988098104788,9.11251841534197
Exp_019,Transformer,9.688910400102323,5.128819414785194,1.8891112391618716,26.241998804979858,-16.553088404877535,False,Inlier,-0.01884899258981618,-0.20179163505450481,2.055660886702195
Exp_020,RF,35.750644494051166,10.377527639414678,3.445005952888756,25.33779961705107,10.412844877000097,False,Inlier,1.0763046681250725,1.19695943252687,7.345674224475165
Exp_020,XGB,45.59879919779961,40.78990868328373,1.117894123074775,25.33779961705107,20.26099958074854,False,Inlier,1.7758164541984356,-0.9740158862579185,21.846209981083092
Exp_020,SVR,32.45409479904099,24.825474053205102,1.3072900331927797,25.33779961705107,7.116295181989919,False,Inlier,-0.9208334845726209,1.0294325570705702,5.595758459339268
Exp_020,LSTM,18.22150443506115,13.167477417784,1.38382651869607,25.33779961705107,-7.116295181989919,False,Inlier,-0.7265497475249556,-0.22095779493914738,7.313575604382684
