experiment,model,otype,param_max_depth,param_min_samples_split,param_max_features,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_C,param_epsilon,param_units,param_dropout,param_l2_reg,param_lr,param_filters,param_kernel_size,param_num_heads,param_d_model,param_num_layers
Exp_026,Transformer,Inlier,,,,,,,,,,,,0.4,,0.002,,,2,32,2
Exp_027,RF,Inlier,12,15,0.4,,,,,,,,,,,,,,,,
Exp_027,XGB,Inlier,3,,,0.02,0.7,0.7,2.0,3.0,,,,,,,,,,,
Exp_027,SVR,Inlier,,,,,,,,,80.0,2.0,,,,,,,,,
Exp_027,LSTM,Inlier,,,,,,,,,,,48,0.5,0.02,0.001,,,,,
Exp_027,CNN,Inlier,,,,,,,,,,,,0.2,0.01,,48,3,,,
Exp_027,Transformer,Type2,,,,,,,,,,,,0.2,,0.0005,,,4,24,1
Exp_028,RF,Inlier,8,10,0.6,,,,,,,,,,,,,,,,
Exp_028,XGB,Inlier,6,,,0.03,0.7,0.8,0.5,10.0,,,,,,,,,,,
Exp_028,SVR,Inlier,,,,,,,,,10.0,0.5,,,,,,,,,
Exp_028,LSTM,Inlier,,,,,,,,,,,32,0.4,0.01,0.002,,,,,
Exp_028,CNN,Inlier,,,,,,,,,,,,0.4,0.01,,64,3,,,
Exp_028,Transformer,Type2,,,,,,,,,,,,0.3,,0.0005,,,4,32,2
Exp_029,RF,Inlier,15,10,0.7,,,,,,,,,,,,,,,,
Exp_029,XGB,Type1,3,,,0.02,0.8,0.8,2.0,1.0,,,,,,,,,,,
Exp_029,SVR,Inlier,,,,,,,,,50.0,1.5,,,,,,,,,
Exp_029,LSTM,Inlier,,,,,,,,,,,32,0.4,0.02,0.002,,,,,
Exp_029,CNN,Inlier,,,,,,,,,,,,0.1,0.005,,64,7,,,
Exp_029,Transformer,Type2,,,,,,,,,,,,0.1,,0.002,,,4,64,2
Exp_030,RF,Inlier,10,20,0.5,,,,,,,,,,,,,,,,
Exp_030,XGB,Inlier,5,,,0.02,0.6,0.6,2.0,8.0,,,,,,,,,,,
Exp_030,SVR,Inlier,,,,,,,,,80.0,1.5,,,,,,,,,
Exp_030,LSTM,Inlier,,,,,,,,,,,48,0.4,0.02,0.002,,,,,
Exp_030,CNN,Inlier,,,,,,,,,,,,0.1,0.01,,32,5,,,
Exp_030,Transformer,Type2,,,,,,,,,,,,0.3,,0.0005,,,2,16,1
Exp_031,RF,Inlier,10,40,0.6,,,,,,,,,,,,,,,,
Exp_031,XGB,Inlier,6,,,0.005,0.9,0.6,5.0,1.0,,,,,,,,,,,
Exp_031,SVR,Inlier,,,,,,,,,30.0,1.5,,,,,,,,,
Exp_031,LSTM,Inlier,,,,,,,,,,,48,0.2,0.01,0.002,,,,,
Exp_031,CNN,Inlier,,,,,,,,,,,,0.3,0.005,,64,7,,,
Exp_031,Transformer,Type2,,,,,,,,,,,,0.3,,0.002,,,4,16,1
Exp_032,RF,Inlier,10,30,0.4,,,,,,,,,,,,,,,,
Exp_032,XGB,Inlier,4,,,0.02,0.8,0.7,1.0,1.0,,,,,,,,,,,
Exp_032,SVR,Inlier,,,,,,,,,10.0,1.5,,,,,,,,,
Exp_032,LSTM,Inlier,,,,,,,,,,,16,0.3,0.02,0.002,,,,,
Exp_032,CNN,Inlier,,,,,,,,,,,,0.3,0.005,,24,7,,,
Exp_032,Transformer,Inlier,,,,,,,,,,,,0.4,,0.001,,,4,16,1
Exp_033,RF,Inlier,15,40,0.6,,,,,,,,,,,,,,,,
Exp_033,XGB,Inlier,4,,,0.005,0.8,0.9,0.5,8.0,,,,,,,,,,,
